"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"17965","Ben Nelson","DEF","Leicester",-0.5,0,0,0,0,0,645,281,0,0,0,0,"2022-03-13T16:30:00Z",0,1,0,0,0,0,29,0,1867,0,2,0,0,17,107,90,40,"False",0,29
"17968","Salomón Rondón","FWD","Everton",-0.5,0,0,0,0,0,591,286,0,0,0,0,"2022-03-13T14:00:00Z",0,20,0,0,0,0,29,0,17842,1,0,0,0,1130,2082,952,60,"True",0,29
"17969","Salomón Rondón","FWD","Everton",-0.5,0,0,0,0,0,591,195,0,0,0,0,"2022-03-17T19:45:00Z",0,14,0,0,0,0,29,0,17842,0,1,0,0,1130,2082,952,60,"True",0,29
"17970","Marc Albrighton","MID","Leicester",2.7,0,0,17,0,27.6,202,281,2,0,4.8,12.4,"2022-03-13T16:30:00Z",90,1,0,0,0,0,29,0,11430,0,2,8,2,155,603,448,52,"False",0,29
"17971","Francisco Jorge Tomás Oliveira","MID","Wolves",1.3,0,0,0,0,0,689,286,0,0,0,0,"2022-03-13T14:00:00Z",0,8,0,0,0,0,29,0,515,1,0,0,0,3,66,63,55,"False",0,29
"17972","Kevin Long","DEF","Burnley",0,0,0,0,0,0,103,282,0,0,0,0,"2022-03-12T15:00:00Z",0,3,0,0,0,0,29,0,14990,0,2,0,0,49,323,274,40,"False",0,29
"17973","Jamie Vardy","FWD","Leicester",0,0,0,0,0,0,205,281,0,0,0,0,"2022-03-13T16:30:00Z",0,1,0,0,0,0,29,0,790494,0,2,0,0,-56269,10356,66625,103,"False",0,29
"17976","Emiliano Buendía Stati","MID","Aston Villa",1.3,1,0,10,0,14.3,43,290,1,0,7,21,"2022-03-13T14:00:00Z",11,19,0,0,0,0,29,0,91068,1,2,35,4,-8783,534,9317,62,"False",0,29
"17977","Miguel Almirón","MID","Newcastle",2,0,0,8,1,16.8,308,284,0,0,3.3,8.8,"2022-03-13T14:00:00Z",68,6,0,0,0,0,29,0,18596,0,1,7,3,-119,289,408,51,"False",0,29
"17978","Miguel Almirón","MID","Newcastle",2,0,0,14,1,12.6,308,195,0,0,3.1,8.8,"2022-03-17T19:45:00Z",70,8,0,0,0,0,29,0,18596,0,1,10,3,-119,289,408,51,"False",0,29
"17979","Pablo Fornals","MID","West Ham",4,0,1,28,0,17.3,423,290,1,1,8,40.6,"2022-03-13T14:00:00Z",90,2,0,0,0,0,29,0,120546,1,2,22,8,-1815,2230,4045,60,"True",0,29
"17980","Moisés Caicedo","MID","Brighton",0,0,0,0,0,0,538,283,0,0,0,0,"2022-03-12T12:30:00Z",0,11,0,0,0,0,29,0,388,2,0,0,0,-2,0,2,45,"True",0,29
"17981","Moisés Caicedo","MID","Brighton",0,0,0,0,0,0,538,153,0,0,0,0,"2022-03-16T19:30:00Z",0,17,0,0,0,0,29,0,388,2,0,0,0,-2,0,2,45,"True",0,29
"17982","Thomas McGill","GK","Brighton",-1.5,0,0,0,0,0,688,283,0,0,0,0,"2022-03-12T12:30:00Z",0,11,0,0,0,0,29,0,1128,2,0,0,0,455,525,70,40,"True",0,29
"17983","Thomas McGill","GK","Brighton",-1.5,0,0,0,0,0,688,153,0,0,0,0,"2022-03-16T19:30:00Z",0,17,0,0,0,0,29,0,1128,2,0,0,0,455,525,70,40,"True",0,29
"17984","Andros Townsend","MID","Everton",0.7,0,0,2,0,0.7,482,286,0,0,0,0,"2022-03-13T14:00:00Z",16,20,0,0,0,0,29,0,213645,1,0,1,1,-1554,2726,4280,52,"True",0,29
"17985","Andros Townsend","MID","Everton",0.7,0,0,3,0,0,482,195,0,0,0,0,"2022-03-17T19:45:00Z",1,14,0,0,0,0,29,0,213645,0,1,0,1,-1554,2726,4280,52,"True",0,29
"17986","Jonjo Shelvey","MID","Newcastle",3,0,0,0,0,0,291,284,0,0,0,0,"2022-03-13T14:00:00Z",0,6,0,0,0,0,29,0,16052,0,1,0,0,853,2511,1658,53,"False",0,29
"17987","Jonjo Shelvey","MID","Newcastle",3,0,0,0,0,0,291,195,0,0,0,0,"2022-03-17T19:45:00Z",0,8,0,0,0,0,29,0,16052,0,1,0,0,853,2511,1658,53,"False",0,29
"17988","Matt Doherty","DEF","Spurs",13.9,0,0,10,0,3.3,360,288,3,0,3.1,5.6,"2022-03-12T17:30:00Z",90,13,0,0,0,0,29,0,617939,2,3,22,1,533723,538779,5056,48,"False",0,29
"17989","Matt Doherty","DEF","Spurs",13.9,0,0,20,1,3,360,153,0,0,2.2,1.2,"2022-03-16T19:30:00Z",79,4,0,0,0,0,29,0,617939,2,0,18,6,533723,538779,5056,48,"False",0,29
"17990","Jean-Philippe Gbamin","MID","Everton",0,0,0,0,0,0,504,286,0,0,0,0,"2022-03-13T14:00:00Z",0,20,0,0,0,0,29,0,2716,1,0,0,0,-46,12,58,44,"True",0,29
"17991","Jean-Philippe Gbamin","MID","Everton",0,0,0,0,0,0,504,195,0,0,0,0,"2022-03-17T19:45:00Z",0,14,0,0,0,0,29,0,2716,0,1,0,0,-46,12,58,44,"True",0,29
"17992","Elliot Anderson","MID","Newcastle",0,0,0,0,0,0,609,284,0,0,0,0,"2022-03-13T14:00:00Z",0,6,0,0,0,0,29,0,1377,0,1,0,0,-25,0,25,45,"False",0,29
"17993","Elliot Anderson","MID","Newcastle",0,0,0,0,0,0,609,195,0,0,0,0,"2022-03-17T19:45:00Z",0,8,0,0,0,0,29,0,1377,0,1,0,0,-25,0,25,45,"False",0,29
"17996","Marcos Alonso","DEF","Chelsea",1.5,0,0,0,0,0,122,284,0,0,0,0,"2022-03-13T14:00:00Z",0,14,0,0,0,0,29,0,694887,0,1,0,0,-90117,1295,91412,56,"True",0,29
"17998","Allan Marques Loureiro","MID","Everton",0.7,0,0,0,0,0,171,286,0,0,0,0,"2022-03-13T14:00:00Z",0,20,0,0,0,0,29,0,318653,1,0,0,0,5150,15209,10059,43,"True",0,29
"17999","Allan Marques Loureiro","MID","Everton",0.7,0,0,6,1,11.4,171,195,0,0,2.9,17.8,"2022-03-17T19:45:00Z",82,14,0,0,0,1,29,0,318653,0,1,0,0,5150,15209,10059,43,"True",0,29
"18000","Oleksandr Zinchenko","DEF","Man City",1,0,0,0,0,0,264,285,0,0,0,0,"2022-03-14T20:00:00Z",0,7,0,0,0,0,29,0,66101,0,0,0,0,471,1488,1017,53,"False",0,29
"18004","Joshua Sargent","FWD","Norwich",2.1,0,0,6,0,5.4,516,287,1,0,2.4,4.2,"2022-03-13T14:00:00Z",61,10,0,0,0,0,29,0,43441,1,2,14,2,-2013,3383,5396,54,"False",0,29
"18005","Phil Bardsley","DEF","Burnley",0,0,0,0,0,0,99,282,0,0,0,0,"2022-03-12T15:00:00Z",0,3,0,0,0,0,29,0,50289,0,2,0,0,304,937,633,39,"False",0,29
"18006","Thomas Dickson-Peters","FWD","Norwich",0,0,0,0,0,0,649,287,0,0,0,0,"2022-03-13T14:00:00Z",0,10,0,0,0,0,29,0,3500,1,2,0,0,-143,0,143,45,"False",0,29
"18009","Lewis Brunt","MID","Leicester",-0.5,0,0,0,0,0,646,281,0,0,0,0,"2022-03-13T16:30:00Z",0,1,0,0,0,0,29,0,562,0,2,0,0,-2,43,45,45,"False",0,29
"18010","Jed Steer","GK","Aston Villa",0,0,0,0,0,0,28,290,0,0,0,0,"2022-03-13T14:00:00Z",0,19,0,0,0,0,29,0,183611,1,2,0,0,-5532,0,5532,39,"False",0,29
"18011","Robert Kenedy Nunes do Nascimento","DEF","Chelsea",1,0,0,0,0,0,690,284,0,0,0,0,"2022-03-13T14:00:00Z",0,14,0,0,0,0,29,0,712,0,1,0,0,17,95,78,45,"True",0,29
"18012","Mark Noble","MID","West Ham",0.7,0,0,0,0,0,406,290,0,0,0,0,"2022-03-13T14:00:00Z",0,2,0,0,0,0,29,0,57305,1,2,0,0,-567,322,889,44,"True",0,29
"18013","Harvey White","MID","Spurs",0.5,0,0,0,0,0,668,288,0,0,0,0,"2022-03-12T17:30:00Z",0,13,0,0,0,0,29,0,1563,2,3,0,0,206,364,158,44,"False",0,29
"18014","Harvey White","MID","Spurs",0.5,0,0,0,0,0,668,153,0,0,0,0,"2022-03-16T19:30:00Z",0,4,0,0,0,0,29,0,1563,2,0,0,0,206,364,158,44,"False",0,29
"18015","Cody Drameh","DEF","Leeds",0,0,0,0,0,0,562,287,0,0,0,0,"2022-03-13T14:00:00Z",0,15,0,0,0,0,29,0,7211,1,2,0,0,-91,0,91,39,"True",0,29
"18018","José Malheiro de Sá","GK","Wolves",4.2,0,0,25,1,0,475,286,0,0,2,20,"2022-03-13T14:00:00Z",90,8,0,0,0,0,29,2,1017347,1,0,0,6,-12268,42540,54808,53,"False",0,29
"18020","Matthew Cash","DEF","Aston Villa",9.3,0,0,9,0,1.8,44,290,2,0,2.4,20.2,"2022-03-13T14:00:00Z",90,19,0,0,0,0,29,0,699724,1,2,2,1,164272,191966,27694,52,"False",0,29
"18021","Allan Saint-Maximin","FWD","Newcastle",0,0,0,4,0,10.8,307,284,1,0,1.7,6,"2022-03-13T14:00:00Z",21,6,0,0,0,0,29,0,1094493,0,1,0,1,-47729,43365,91094,68,"False",0,29
"18022","Allan Saint-Maximin","FWD","Newcastle",0,0,0,2,0,21,307,195,1,0,3.2,4.2,"2022-03-17T19:45:00Z",19,8,0,0,0,0,29,0,1094493,0,1,7,1,-47729,43365,91094,68,"False",0,29
"18023","Jarrad Branthwaite","DEF","Everton",-0.5,0,0,0,0,0,544,286,0,0,0,0,"2022-03-13T14:00:00Z",0,20,0,0,0,0,29,0,29766,1,0,0,0,-65,974,1039,40,"True",0,29
"18024","Jarrad Branthwaite","DEF","Everton",-0.5,0,0,0,0,0,544,195,0,0,0,0,"2022-03-17T19:45:00Z",0,14,0,0,0,0,29,0,29766,0,1,0,0,-65,974,1039,40,"True",0,29
"18025","Joel Ward","DEF","Crystal Palace",-0.8,0,0,0,0,0,474,285,0,0,0,0,"2022-03-14T20:00:00Z",0,12,0,0,0,0,29,0,19509,0,0,0,0,-870,11,881,45,"True",0,29
