"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","expected_assists","expected_goal_involvements","expected_goals","expected_goals_conceded","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","starts","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"9416","Jefferson Lerma Solís","MID","Bournemouth",1.1,0,0,8,0,14,64,0.15324,0.18204,0.0288,1.7392,164,2,0,2.2,3.4,"2022-12-27T17:30:00Z",90,6,0,0,0,0,17,0,49777,1,0,2,5,2,-6985,579,7564,48,"False",0,17
"9419","Chris Mepham","DEF","Bournemouth",-0.5,0,0,0,0,0,71,0,0,0,0,164,0,0,0,0,"2022-12-27T17:30:00Z",0,6,0,0,0,0,17,0,12684,0,0,2,0,0,-1602,510,2112,44,"False",0,17
"9421","Willy Caballero","GK","Southampton",0,0,0,0,0,0,424,0,0,0,0,170,0,0,0,0,"2022-12-26T15:00:00Z",0,5,0,0,0,0,17,0,91196,0,3,1,0,0,-2870,7017,9887,39,"True",0,17
"9422","Alex Mighten","MID","Nott'm Forest",0,0,0,0,0,0,395,0,0,0,0,169,0,0,0,0,"2022-12-27T20:00:00Z",0,14,0,0,0,0,17,0,1184,0,0,3,0,0,-25,0,25,49,"False",0,17
"9425","Josh Dasilva","MID","Brentford",0.5,0,0,2,0,0.5,83,0.05473,0.05473,0,0.2552,163,0,0,0.2,1.4,"2022-12-26T12:30:00Z",8,18,0,0,0,0,17,0,490390,0,2,2,0,1,55943,204709,148766,42,"True",0,17
"9426","Roberto Firmino","FWD","Liverpool",0,0,0,0,0,0,279,0,0,0,0,162,0,0,0,0,"2022-12-26T17:30:00Z",0,2,0,0,0,0,17,0,553746,0,3,1,0,0,-334925,121949,456874,81,"False",0,17
"9427","Thiago Alcántara do Nascimento","MID","Liverpool",3,0,0,10,0,12.2,277,0.03143,0.04613,0.0147,1.1617,162,1,0,3.1,9.6,"2022-12-26T17:30:00Z",66,2,0,0,0,0,17,0,85314,1,3,1,9,2,1609,11121,9512,52,"False",0,17
"9432","Moussa Niakhaté","DEF","Nott'm Forest",0,0,0,0,0,0,507,0,0,0,0,169,0,0,0,0,"2022-12-27T20:00:00Z",0,14,0,0,0,0,17,0,5019,0,0,3,0,0,-202,78,280,43,"False",0,17
"9434","Kyle Walker-Peters","DEF","Southampton",1,0,0,7,0,16.5,409,0.05484,0.05484,0,0.6408,170,3,0,3.2,13,"2022-12-26T15:00:00Z",90,5,0,0,0,0,17,0,78212,1,3,1,2,1,-2420,9988,12408,44,"True",0,17
"9435","Joe Rothwell","MID","Bournemouth",-0.4,0,0,0,0,0,505,0,0,0,0,164,0,0,0,0,"2022-12-27T17:30:00Z",0,6,0,0,0,0,17,0,550,0,0,2,0,0,-16,42,58,49,"False",0,17
