"","name","position","team","xP","assists","bonus","bps","clean_sheets","creativity","element","fixture","goals_conceded","goals_scored","ict_index","influence","kickoff_time","minutes","opponent_team","own_goals","penalties_missed","penalties_saved","red_cards","round","saves","selected","team_a_score","team_h_score","threat","total_points","transfers_balance","transfers_in","transfers_out","value","was_home","yellow_cards","GW"
"4356","Dean Henderson","GK","Man Utd",0.5,0,0,0,0,0,280,75,0,0,0,0,"2021-10-16T14:00:00Z",0,9,0,0,0,0,8,0,38850,2,4,0,0,-1581,262,1843,48,"False",0,8
"4359","Mads Bech Sørensen","DEF","Brentford",0,0,0,0,0,0,90,73,0,0,0,0,"2021-10-16T16:30:00Z",0,6,0,0,0,0,8,0,3876,1,0,0,0,-231,29,260,44,"True",0,8
"4362","Sergi Canós","MID","Brentford",1.3,0,0,2,0,4.8,81,73,1,0,0.9,0.4,"2021-10-16T16:30:00Z",71,6,0,0,0,0,8,0,172134,1,0,4,1,-9682,4693,14375,55,"True",1,8
"4365","Stuart Armstrong","MID","Southampton",0.3,0,0,4,0,11.9,339,79,0,0,2.1,4.8,"2021-10-16T14:00:00Z",31,10,0,0,0,0,8,0,10984,0,1,4,1,315,930,615,58,"True",0,8
"4376","Mattéo Guendouzi","MID","Arsenal",0,0,0,0,0,0,25,71,0,0,0,0,"2021-10-18T19:00:00Z",0,7,0,0,0,0,8,0,112,2,2,0,0,-1,0,1,45,"True",0,8
"4377","Shandon Baptiste","MID","Brentford",0,0,0,0,0,0,499,73,0,0,0,0,"2021-10-16T16:30:00Z",0,6,0,0,0,0,8,0,2483,1,0,0,0,-306,78,384,50,"True",0,8
"4382","Oriol Romeu Vidal","MID","Southampton",2,0,0,13,1,2.9,335,79,0,0,1.2,8.6,"2021-10-16T14:00:00Z",90,10,0,0,0,0,8,0,52933,0,1,0,3,468,4946,4478,45,"True",0,8
"4394","Scott McTominay","MID","Man Utd",2.5,0,0,3,0,0.3,285,75,2,0,1.1,4,"2021-10-16T14:00:00Z",10,9,0,0,0,0,8,0,21661,2,4,7,1,580,2169,1589,54,"False",0,8
"4395","Pablo Marí","DEF","Arsenal",0.5,0,0,0,0,0,8,71,0,0,0,0,"2021-10-18T19:00:00Z",0,7,0,0,0,0,8,0,9971,2,2,0,0,-444,110,554,43,"True",0,8
"4402","Takehiro Tomiyasu","DEF","Arsenal",3.5,0,0,8,0,14.9,590,71,2,0,3.6,21.2,"2021-10-18T19:00:00Z",90,7,0,0,0,0,8,0,264739,2,2,0,1,41829,56322,14493,46,"True",0,8
